Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)								
0.001	0.0453718								
0.002	0.0575178								
0.005	0.0915679								
0.008	0.119606								
0.01	0.135793								
0.015	0.170486								
0.02	0.199972								
0.025	0.226244								
0.03	0.246739								
0.035	0.264452								
0.04	0.279819								
0.045	0.293157								
0.05	0.304714								
0.055	0.314691								
0.06	0.323258								
0.07	0.336742								
0.08	0.346175								
0.09	0.352379								
0.1	0.356036								
0.12	0.357834								
0.14	0.35488								
0.16	0.349274								
0.18	0.342298								
0.2	0.334708								
0.25	0.315434								
0.3	0.297423								
0.35	0.281146								
0.4	0.266511								
0.45	0.253331								
0.5	0.241426								
0.6	0.220833								
0.7	0.203716								
0.8	0.189309								
0.9	0.177034								
1	0.16645								
1.25	0.145391								
1.5	0.129607								
1.75	0.117257								
2	0.107285								
2.25	0.0990373								
2.5	0.092088								
3	0.0809974								
3.5	0.0725173								
4	0.0658081								
4.5	0.060358								
5	0.0558362								
5.5	0.0520187								
6	0.0487487								
6.5	0.045913								
7	0.0434278								
7.5	0.0412297								
8	0.03927								
8.5	0.0375106								
9	0.035921								
9.5	0.0344769								
10	0.0331584								
11	0.030782								
12	0.0287492								
13	0.0269881								
14	0.0254456								
15	0.024081								
16	0.0228644								
17	0.0217722								
18	0.0207856								
19	0.0198892								
20	0.0190702								
21	0.018319								
22	0.0176279								
23	0.0169899								
24	0.0163986								
25	0.0158488								
27	0.0148577								
29	0.013987								
31	0.0132443								
33	0.0126108								
35	0.0120413								
38	0.0112905								
41	0.0106391								
44	0.0100679								
47	0.00956494								
50	0.00911653								
55	0.00846965								
60	0.00792098								
65	0.00745099								
70	0.00704306								
75	0.00668485								
80	0.00636934								
85	0.00608742								
90	0.00583471								
95	0.00560758								
100	0.00540091								
105	0.00521268								
110	0.0050404								
115	0.00488271								
120	0.00473731								
125	0.00460238								
130	0.00447737								
135	0.00436155								
140	0.00425332								
145	0.0041519								
150	0.00405695								
155	0.00396776								
160	0.00388402								
165	0.00380537								
170	0.00373095								
175	0.00366039								
180	0.00359363								
185	0.00353031								
190	0.00347016								
195	0.00341315								
200	0.00335901								
210	0.00325779								
220	0.00316536								
230	0.0030807								
240	0.00300323								
250	0.00293168								
260	0.00286533								
270	0.00280382								
280	0.00274664								
290	0.00269361								
300	0.00264396								
310	0.00259733								
320	0.00255365								
330	0.00251257								
340	0.00247398								
350	0.00243777								
360	0.00240351								
370	0.00237099								
380	0.00234022								
390	0.00231106								
400	0.00228337								
410	0.0022571								
420	0.00223222								
430	0.00220855								
440	0.0021859								
450	0.00216424								
460	0.00214357								
470	0.00212383								
480	0.00210494								
490	0.00208685								
500	0.00206956								
520	0.00203724								
540	0.00200739								
560	0.00197972								
580	0.00195413								
600	0.00193038								
620	0.00190833								
640	0.00188792								
660	0.00186886								
680	0.00185097								
700	0.00183421								
720	0.00181852								
740	0.0018038								
760	0.00178996								
780	0.00177696								
800	0.00176478								
820	0.00175339								
840	0.0017429								
860	0.00173294								
880	0.00172351								
900	0.00171459								
920	0.00170616								
940	0.00169818								
960	0.00169062								
980	0.00168346								
1000	0.00167667								
1020	0.00167021								
1040	0.00166408								
1060	0.00165825								
1080	0.00165271								
1100	0.00164746								
1120	0.00164249								
1140	0.00163777								
1160	0.00163329								
1180	0.00162902								
1200	0.00162495								
1220	0.00162105								
1240	0.00161733								
1260	0.00161378								
1280	0.0016104								
1300	0.00160717								
1320	0.00160409								
1340	0.00160116								
1360	0.00159837								
1380	0.0015957								
1400	0.00159317								
1420	0.00159075								
1440	0.00158844								
1460	0.00158624								
1480	0.00158413								
1500	0.00158213								
1520	0.00158022								
1540	0.00157841								
1560	0.00157668								
1580	0.00157504								
1600	0.00157348								
1620	0.001572								
1640	0.0015706								
1660	0.00156927								
1680	0.00156801								
1700	0.00156681								
1750	0.00156407								
1800	0.00156166								
1850	0.00155955								
1900	0.00155772								
1950	0.00155613								
2000	0.00155478								
2100	0.00155271								
2200	0.00155136								
2300	0.00155062								
2400	0.00155038								
2500	0.00155057								
2600	0.00155111								
2700	0.00155197								
2800	0.00155308								
2900	0.00155441								
3000	0.00155593								
3200	0.00155943								
3400	0.00156338								
3600	0.00156767								
3800	0.00157219								
4000	0.00157686								
4200	0.00158163								
4400	0.00158646								
4600	0.00159131								
4800	0.00159616								
5000	0.00160099								
5250	0.00160697								
5500	0.00161287								
6000	0.0016244								
6500	0.00163549								
7000	0.00164613								
7500	0.0016563								
8000	0.00166604								
8500	0.00167534								
9000	0.00168424								
9500	0.00169276								
10000	0.00170093								
11000	0.00171626								
12000	0.00173041								
13000	0.00174348								
14000	0.00175561								
15000	0.00176691								
16000	0.00177753								
17000	0.00178753								
18000	0.001797								
19000	0.00180598								
20000	0.00181451								
21000	0.0018226								
22000	0.0018302								
23000	0.00183743								
24000	0.00184439								
25000	0.00185113								
26000	0.00185757								
27000	0.00186367								
28000	0.00186951								
29000	0.00187514								
30000	0.0018806								
32000	0.00189096								
34000	0.00190063								
36000	0.0019097								
38000	0.00191824								
40000	0.00192629								
42000	0.0019339								
44000	0.00194111								
46000	0.00194794								
48000	0.00195444								
50000	0.00196064								
