Energy (MeV/u)2	"1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)"
0.001	0.185544
0.002	0.205492
0.005	0.245131
0.008	0.275476
0.01	0.292948
0.015	0.339656
0.02	0.415171
0.025	0.487565
0.03	0.555743
0.035	0.616914
0.04	0.66914
0.045	0.715983
0.05	0.757555
0.055	0.794085
0.06	0.825885
0.07	0.876806
0.08	0.913543
0.09	0.939246
0.1	0.956665
0.12	0.975058
0.14	0.987036
0.16	0.991165
0.18	0.991077
0.2	0.988784
0.25	0.984776
0.3	0.981295
0.35	0.976844
0.4	0.978993
0.45	0.979453
0.5	0.976973
0.6	0.96999
0.7	0.945462
0.8	0.909485
0.9	0.874703
1	0.841099
1.25	0.765795
1.5	0.70051
1.75	0.64373
2	0.59712
2.25	0.557857
2.5	0.523979
3	0.46663
3.5	0.422855
4	0.387798
4.5	0.358833
5	0.334378
5.5	0.313393
6	0.295155
6.5	0.279139
7	0.264947
7.5	0.252277
8	0.24089
8.5	0.230594
9	0.221236
9.5	0.212689
10	0.205773
11	0.191712
12	0.179542
13	0.168909
14	0.159542
15	0.151228
16	0.143799
17	0.13712
18	0.131082
19	0.125598
20	0.120594
21	0.116009
22	0.111792
23	0.1079
24	0.104297
25	0.100951
27	0.0949273
29	0.0896537
31	0.084997
33	0.0808537
35	0.0771424
38	0.0722468
41	0.0680101
44	0.0643062
47	0.0610393
50	0.0581356
55	0.0539509
60	0.0504167
65	0.0473908
70	0.0447698
75	0.0424766
80	0.0404528
85	0.0386529
90	0.0370415
95	0.0355901
100	0.0342758
105	0.0330799
110	0.0319869
115	0.0309839
120	0.0300603
125	0.0292068
130	0.0284157
135	0.0276803
140	0.026995
145	0.0263547
150	0.0257552
155	0.0251926
160	0.0246636
165	0.0241653
170	0.0236951
175	0.0232506
180	0.0228298
185	0.0224309
190	0.0220521
195	0.021692
200	0.0213493
210	0.0207111
220	0.0201289
230	0.0195958
240	0.0191058
250	0.0186539
260	0.0182359
270	0.0178481
280	0.0174874
290	0.017151
300	0.0168367
310	0.0165424
320	0.0162662
330	0.0160066
340	0.0157621
350	0.0155315
360	0.0153136
370	0.0151075
380	0.0149123
390	0.0147272
400	0.0145513
410	0.0143841
420	0.014225
430	0.0140734
440	0.0139288
450	0.0137908
460	0.013659
470	0.0135329
480	0.0134122
490	0.0132966
500	0.0131858
520	0.0129776
540	0.0127855
560	0.0126079
580	0.0124433
600	0.0122905
620	0.0121484
640	0.0120159
660	0.0118922
680	0.0117767
700	0.0116685
720	0.0115671
740	0.0114719
760	0.0113825
780	0.0112985
800	0.0112194
820	0.0111449
840	0.0110747
860	0.0110085
880	0.010946
900	0.0108869
920	0.0108312
940	0.0107784
960	0.0107286
980	0.0106814
1000	0.0106368
1020	0.0105946
1040	0.0105546
1060	0.0105167
1080	0.0104809
1100	0.010447
1120	0.0104149
1140	0.0103845
1160	0.0103557
1180	0.0103285
1200	0.0103027
1220	0.0102783
1240	0.0102553
1260	0.0102335
1280	0.010213
1300	0.0101936
1320	0.0101753
1340	0.0101581
1360	0.0101419
1380	0.0101266
1400	0.0101123
1420	0.0100989
1440	0.0100863
1460	0.0100745
1480	0.0100635
1500	0.0100533
1520	0.0100438
1540	0.010035
1560	0.0100268
1580	0.0100194
1600	0.0100125
1620	0.0100062
1640	0.0100005
1660	0.00999536
1680	0.00999076
1700	0.00998667
1750	0.0099786
1800	0.00997339
1850	0.00997082
1900	0.00997068
1950	0.00997279
2000	0.00997697
2100	0.00999097
2200	0.0100116
2300	0.0100381
2400	0.0100696
2500	0.0101056
2600	0.0101455
2700	0.010189
2800	0.0102355
2900	0.0102848
3000	0.0103367
3200	0.0104469
3400	0.0105646
3600	0.0106884
3800	0.0108173
4000	0.0109506
4200	0.0110876
4400	0.0112277
4600	0.0113705
4800	0.0115156
5000	0.0116628
5250	0.0118492
5500	0.012038
6000	0.0124212
6500	0.0128104
7000	0.013204
7500	0.0136009
8000	0.0140003
8500	0.0144017
9000	0.0148044
9500	0.0152082
10000	0.0156129
11000	0.0164237
12000	0.0172356
13000	0.0180477
14000	0.0188595
15000	0.0196706
16000	0.0204808
17000	0.02129
18000	0.0220979
19000	0.0229045
20000	0.0237099
21000	0.0245139
22000	0.0253166
23000	0.026118
24000	0.026918
25000	0.0277168
26000	0.0285143
27000	0.0293105
28000	0.0301054
29000	0.0308992
30000	0.0316918
32000	0.0332735
34000	0.0348508
36000	0.0364238
38000	0.0379928
40000	0.0395578
42000	0.0411192
44000	0.042677
46000	0.0442314
48000	0.0457825
50000	0.0473305
