Energy (MeV/u)2	"1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)"
0.001	0.0323537
0.002	0.0425534
0.005	0.0684916
0.008	0.0893905
0.01	0.101416
0.015	0.137626
0.02	0.170044
0.025	0.198984
0.03	0.224733
0.035	0.247448
0.04	0.267307
0.045	0.284496
0.05	0.299214
0.055	0.311674
0.06	0.322093
0.07	0.33768
0.08	0.34763
0.09	0.353378
0.1	0.356086
0.12	0.355725
0.14	0.351202
0.16	0.344876
0.18	0.337871
0.2	0.330699
0.25	0.313197
0.3	0.296834
0.35	0.28167
0.4	0.267665
0.45	0.254773
0.5	0.242939
0.6	0.222159
0.7	0.204698
0.8	0.18994
0.9	0.177355
1	0.166514
1.25	0.145014
1.5	0.128989
1.75	0.116516
2	0.106489
2.25	0.0982253
2.5	0.0912833
3	0.0802414
3.5	0.0718269
4	0.0651852
4.5	0.0597991
5	0.0553356
5.5	0.0515709
6	0.0483481
6.5	0.0455547
7	0.0431073
7.5	0.0409432
8	0.0390142
8.5	0.0372823
9	0.0357177
9.5	0.0342963
10	0.033147
11	0.0308322
12	0.0288408
13	0.027109
14	0.0255887
15	0.024243
16	0.0230431
17	0.0219662
18	0.0209941
19	0.020112
20	0.0193079
21	0.0185716
22	0.0178948
23	0.0172705
24	0.0166928
25	0.0161564
27	0.0151912
29	0.0143465
31	0.0136009
33	0.0129376
35	0.0123435
38	0.01156
41	0.0108819
44	0.0102892
47	0.00976647
50	0.00930184
55	0.00863225
60	0.00806676
65	0.00758261
70	0.00716324
75	0.00679632
80	0.0064725
85	0.00618453
90	0.0059267
95	0.00569447
100	0.00548418
105	0.00529283
110	0.00511794
115	0.00495747
120	0.00480968
125	0.00467312
130	0.00454654
135	0.00442888
140	0.00431923
145	0.00421679
150	0.00412086
155	0.00403084
160	0.00394621
165	0.00386648
170	0.00379124
175	0.00372012
180	0.00365279
185	0.00358896
190	0.00352836
195	0.00347075
200	0.00341591
210	0.0033138
220	0.00322065
230	0.00313535
240	0.00305695
250	0.00298465
260	0.00291776
270	0.00285571
280	0.00279799
290	0.00274418
300	0.00269389
310	0.0026468
320	0.00260261
330	0.00256106
340	0.00252194
350	0.00248505
360	0.00245019
370	0.00241722
380	0.00238598
390	0.00235636
400	0.00232822
410	0.00230147
420	0.00227602
430	0.00225176
440	0.00222863
450	0.00220654
460	0.00218544
470	0.00216527
480	0.00214596
490	0.00212746
500	0.00210974
520	0.00207642
540	0.00204569
560	0.00201727
580	0.00199094
600	0.00196649
620	0.00194375
640	0.00192255
660	0.00190277
680	0.00188427
700	0.00186696
720	0.00185074
740	0.00183551
760	0.00182121
780	0.00180776
800	0.00179511
820	0.00178319
840	0.00177196
860	0.00176136
880	0.00175136
900	0.00174192
920	0.00173299
940	0.00172456
960	0.00171658
980	0.00170903
1000	0.00170189
1020	0.00169514
1040	0.00168874
1060	0.00168268
1080	0.00167695
1100	0.00167152
1120	0.00166638
1140	0.00166152
1160	0.00165691
1180	0.00165256
1200	0.00164844
1220	0.00164454
1240	0.00164085
1260	0.00163737
1280	0.00163408
1300	0.00163098
1320	0.00162806
1340	0.0016253
1360	0.0016227
1380	0.00162026
1400	0.00161797
1420	0.00161582
1440	0.00161381
1460	0.00161193
1480	0.00161017
1500	0.00160853
1520	0.00160701
1540	0.0016056
1560	0.0016043
1580	0.0016031
1600	0.001602
1620	0.001601
1640	0.00160008
1660	0.00159926
1680	0.00159852
1700	0.00159787
1750	0.00159658
1800	0.00159575
1850	0.00159533
1900	0.00159531
1950	0.00159565
2000	0.00159632
2100	0.00159856
2200	0.00160186
2300	0.0016061
2400	0.00161114
2500	0.0016169
2600	0.00162329
2700	0.00163024
2800	0.00163768
2900	0.00164558
3000	0.00165387
3200	0.00167151
3400	0.00169033
3600	0.00171014
3800	0.00173077
4000	0.0017521
4200	0.00177401
4400	0.00179643
4600	0.00181928
4800	0.0018425
5000	0.00186605
5250	0.00189587
5500	0.00192608
6000	0.0019874
6500	0.00204967
7000	0.00211264
7500	0.00217615
8000	0.00224006
8500	0.00230427
9000	0.00236871
9500	0.00243332
10000	0.00249806
11000	0.00262779
12000	0.00275769
13000	0.00288763
14000	0.00301752
15000	0.0031473
16000	0.00327693
17000	0.00340639
18000	0.00353566
19000	0.00366472
20000	0.00379358
21000	0.00392223
22000	0.00405066
23000	0.00417888
24000	0.00430689
25000	0.00443469
26000	0.00456228
27000	0.00468968
28000	0.00481687
29000	0.00494387
30000	0.00507069
32000	0.00532376
34000	0.00557612
36000	0.00582781
38000	0.00607884
40000	0.00632926
42000	0.00657907
44000	0.00682832
46000	0.00707703
48000	0.0073252
50000	0.00757288
