Energy (MeV/u)2	"1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)"
0.001	0.276243
0.002	0.298438
0.005	0.342388
0.008	0.377918
0.01	0.398939
0.015	0.455995
0.02	0.547388
0.025	0.634837
0.03	0.720134
0.035	0.799757
0.04	0.873503
0.045	0.94082
0.05	1.00163
0.055	1.05605
0.06	1.10907
0.07	1.20905
0.08	1.28708
0.09	1.34691
0.1	1.39227
0.12	1.44527
0.14	1.46803
0.16	1.4793
0.18	1.4846
0.2	1.4889
0.25	1.50235
0.3	1.50498
0.35	1.51276
0.4	1.53373
0.45	1.54467
0.5	1.54936
0.6	1.53634
0.7	1.49822
0.8	1.45736
0.9	1.41541
1	1.37467
1.25	1.27867
1.5	1.19399
1.75	1.11836
2	1.05264
2.25	0.994456
2.5	0.940591
3	0.851896
3.5	0.780969
4	0.722307
4.5	0.672631
5	0.630178
5.5	0.593352
6	0.561033
6.5	0.532398
7	0.506824
7.5	0.483826
8	0.463023
8.5	0.444104
9	0.426817
9.5	0.410955
10	0.398128
11	0.371763
12	0.348792
13	0.328614
14	0.310756
15	0.294846
16	0.280584
17	0.267728
18	0.25608
19	0.24548
20	0.23579
21	0.2269
22	0.218713
23	0.211149
24	0.204139
25	0.197625
27	0.185884
29	0.175594
31	0.1665
33	0.158403
35	0.151146
38	0.141568
41	0.133276
44	0.126023
47	0.119625
50	0.113937
55	0.105739
60	0.0988137
65	0.0928841
70	0.0877475
75	0.0832532
80	0.0792867
85	0.0757592
90	0.0726009
95	0.0697563
100	0.0671803
105	0.0648363
110	0.062694
115	0.0607282
120	0.0589178
125	0.057245
130	0.0556944
135	0.0542532
140	0.05291
145	0.051655
150	0.05048
155	0.0493773
160	0.0483405
165	0.0473638
170	0.0464421
175	0.045571
180	0.0447462
185	0.0439643
190	0.0432219
195	0.0425162
200	0.0418445
210	0.0405936
220	0.0394526
230	0.0384077
240	0.0374473
250	0.0365616
260	0.0357422
270	0.0349821
280	0.0342751
290	0.0336159
300	0.0329999
310	0.032423
320	0.0318816
330	0.0313728
340	0.0308936
350	0.0304416
360	0.0300146
370	0.0296107
380	0.0292281
390	0.0288652
400	0.0285205
410	0.0281928
420	0.027881
430	0.0275838
440	0.0273005
450	0.0270299
460	0.0267715
470	0.0265243
480	0.0262878
490	0.0260613
500	0.0258441
520	0.025436
540	0.0250595
560	0.0247114
580	0.0243889
600	0.0240894
620	0.0238108
640	0.0235511
660	0.0233087
680	0.0230822
700	0.0228701
720	0.0226714
740	0.0224849
760	0.0223097
780	0.022145
800	0.02199
820	0.021844
840	0.0217064
860	0.0215766
880	0.0214541
900	0.0213384
920	0.0212291
940	0.0211257
960	0.021028
980	0.0209356
1000	0.0208481
1020	0.0207653
1040	0.020687
1060	0.0206128
1080	0.0205426
1100	0.0204761
1120	0.0204131
1140	0.0203535
1160	0.0202971
1180	0.0202438
1200	0.0201933
1220	0.0201455
1240	0.0201004
1260	0.0200577
1280	0.0200175
1300	0.0199795
1320	0.0199436
1340	0.0199098
1360	0.0198781
1380	0.0198482
1400	0.0198201
1420	0.0197938
1440	0.0197691
1460	0.019746
1480	0.0197245
1500	0.0197044
1520	0.0196858
1540	0.0196686
1560	0.0196526
1580	0.0196379
1600	0.0196244
1620	0.0196121
1640	0.019601
1660	0.0195909
1680	0.0195819
1700	0.0195739
1750	0.019558
1800	0.0195478
1850	0.0195428
1900	0.0195425
1950	0.0195466
2000	0.0195548
2100	0.0195823
2200	0.0196228
2300	0.0196747
2400	0.0197365
2500	0.019807
2600	0.0198853
2700	0.0199704
2800	0.0200616
2900	0.0201583
3000	0.0202599
3200	0.020476
3400	0.0207066
3600	0.0209492
3800	0.021202
4000	0.0214632
4200	0.0217316
4400	0.0220062
4600	0.0222861
4800	0.0225706
5000	0.022859
5250	0.0232244
5500	0.0235944
6000	0.0243456
6500	0.0251084
7000	0.0258799
7500	0.0266578
8000	0.0274407
8500	0.0282273
9000	0.0290166
9500	0.0298082
10000	0.0306012
11000	0.0321904
12000	0.0337817
13000	0.0353735
14000	0.0369646
15000	0.0385544
16000	0.0401424
17000	0.0417283
18000	0.0433118
19000	0.0448929
20000	0.0464714
21000	0.0480473
22000	0.0496206
23000	0.0511912
24000	0.0527593
25000	0.0543249
26000	0.0558879
27000	0.0574485
28000	0.0590067
29000	0.0605625
30000	0.0621159
32000	0.0652161
34000	0.0683075
36000	0.0713906
38000	0.0744658
40000	0.0775334
42000	0.0805937
44000	0.083647
46000	0.0866936
48000	0.0897338
50000	0.0927678
